"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"979406";"";"369632025";"1101964";"MUNICIPIO DE NAZARE PAULISTA - SP";"SP";"NAZARE PAULISTA";"REGOV/JD";"novo pac - creches e pré-escolas de educação infantil";"3772287.11";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979270";"";"369092025";"1101924";"MUNICIPIO DE CACAPAVA DO SUL - RS";"RS";"CACAPAVA DO SUL";"GIGOV/SM";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979357";"";"369342025";"1101942";"MUNICIPIO DE SAO LOURENCO DO SUL - RS";"RS";"SAO LOURENCO DO SUL";"REGOV/PL";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979401";"";"365262025";"1102041";"MUNICIPIO DE BELO CAMPO - BA";"BA";"BELO CAMPO";"GIGOV/VC";"novo pac - creches e pré-escolas de educação infantil";"3515665.9";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983118";"";"385652025";"1104449";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"IGARAPE";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983108";"";"385752025";"1104459";"SECRETARIA DA CULTURA";"RS";"RIO GRANDE";"GIGOV/PO";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2644423.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983130";"";"385662025";"1104450";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"MATEUS LEME";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983115";"";"385642025";"1104448";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"VICOSA";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983132";"";"385672025";"1104451";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"ARACUAI";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983124";"";"385792025";"1104463";"ESTADO DO TOCANTINS";"TO";"PALMAS";"GIGOV/PM";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2578431.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983559";"1-2140908";"559352025";"1104578";"MUNICIPIO DE JUAZEIRO DO NORTE - CE";"CE";"JUAZEIRO DO NORTE";"REGOV/JN";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"13034723.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983609";"1-2137470";"560082025";"1104427";"MUNICIPIO DE BREJO SANTO - CE";"CE";"BREJO SANTO";"REGOV/JN";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"11550000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
