"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"derivado_tempo";"969044";"1-2015771";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"969044";"1-2015771";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
"alterado";"dados_e_derivados";"dados_origem";"969045";"1-2011690";"dte_inicio_obra_mcid_saci";"2026-05-28";"2026-06-17"
"alterado";"dados_e_derivados";"derivado_regra";"969045";"1-2011690";"dias_aio_ate_inicio_obra_calc";"-20";"0"
"alterado";"dados_e_derivados";"dados_origem";"969071";"1-2015177";"dte_inicio_obra_mcid_saci";"2026-02-25";"2026-06-08"
"alterado";"dados_e_derivados";"derivado_regra";"969071";"1-2015177";"dias_aio_ate_inicio_obra_calc";"-103";"0"
"alterado";"dados_e_derivados";"dados_origem";"969297";"1-2015399";"dte_homologacao_licitacao_tgov";"2026-05-04";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"969297";"1-2015399";"ultima_data_relevante_calc";"2026-05-04";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"969297";"1-2015399";"dias_publicacao_ate_homologacao_calc";"39";"84"
"alterado";"dados_e_derivados";"dados_origem";"969298";"1-2015558";"dte_homologacao_licitacao_tgov";"2026-05-04";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"969298";"1-2015558";"ultima_data_relevante_calc";"2026-05-04";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"969298";"1-2015558";"dias_publicacao_ate_homologacao_calc";"39";"84"
"alterado";"dados_e_derivados";"dados_origem";"969349";"1-2014859";"dte_aio_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"969349";"1-2014859";"dte_inicio_obra_mcid_saci";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"969349";"1-2014859";"ultima_data_relevante_calc";"2026-05-14";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"969349";"1-2014859";"fase_atual_calc";"VRPL";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"969349";"1-2014859";"dias_vrpl_ate_aio_calc";"";"36"
"alterado";"dados_e_derivados";"derivado_regra";"969349";"1-2014859";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"969349";"1-2014859";"prazo_inicio_obra_calc";"";"2026-07-03"
"alterado";"dados_e_derivados";"derivado_tempo";"969349";"1-2014859";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"969600";"1-2014727";"dte_inicio_obra_mcid_saci";"2026-05-18";"2026-06-17"
"alterado";"dados_e_derivados";"derivado_regra";"969600";"1-2014727";"dias_aio_ate_inicio_obra_calc";"-30";"0"
"alterado";"dados_e_derivados";"dados_origem";"969604";"1-2015372";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"969604";"1-2015372";"ultima_data_relevante_calc";"2026-05-25";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"969604";"1-2015372";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"969604";"1-2015372";"dias_homologacao_ate_vrpl_calc";"";"25"
"alterado";"dados_e_derivados";"dados_origem";"972145";"1-2016338";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"972145";"1-2016338";"ultima_data_relevante_calc";"2026-06-01";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"972145";"1-2016338";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"972145";"1-2016338";"dias_homologacao_ate_vrpl_calc";"";"17"
"alterado";"dados_e_derivados";"dados_origem";"972549";"1-2015928";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"972549";"1-2015928";"ultima_data_relevante_calc";"2026-06-03";"2026-06-19"
